,name,categories,address,city,postalCode,state,country,latitude,longitude,count,Rating,Review Count,Closed
0,Carl's Jr.,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",2555 11th Avenue,Greeley,80631,Colorado,US,40.39629,-104.69699,205,2.5,6,FALSE
1,Del Taco,"Restaurant,Mexican Restaurants,Fast Food Restaurants,Restaurants",2513 Highway 6 And 50,Grand Junction,81505,Colorado,US,39.08135,-108.58689,30,3.5,6,FALSE
2,Chipotle Mexican Grill,"Fast Food Restaurants,Mexican Restaurants,Restaurants,Take Out Restaurants",3455 N Salida Court,Aurora,80011,Colorado,US,39.76369,-104.77671,142,3,43,FALSE
3,Taco Bell,"Fast Food Restaurants,Mexican Restaurants,Restaurants",5225 E Colfax Avenue,Denver,80220,Colorado,US,39.74044,-104.92636,529,2,40,FALSE
4,McDonald's,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",1350 W Colfax Avenue,Denver,80204,Colorado,US,39.73967,-105.00467,784,2,56,FALSE
5,McDonald's,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",200 16th Street,Denver,80202,Colorado,US,39.7417,-104.98829,784,1.5,55,FALSE
6,Taco Bell,"Restaurant,Carry-out food,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,Mexican restaurants,Karaoke,Fast Food Restaurants,Restaurants",1772 N College Ave,Fayetteville,72703,Arkansas,US,36.085369,-94.155319,529,1.5,7,FALSE
7,Captain D's Seafood Kitchen,"Fast Food Restaurants,American Restaurants,Family Style Restaurants,Restaurants,Seafood Restaurants",605 S Havana Street,Aurora,80012,Colorado,US,39.70534,-104.86633,14,4,989,FALSE
8,Cook-Out,"Fast Food Restaurants,American Restaurants,Barbecue Restaurants,Hamburgers and Hot Dogs,Restaurants",201 W Fillmore Street,Colorado Springs,80907,Colorado,US,38.87469,-104.8257,13,3.5,36,FALSE
9,Steak 'n Shake,"Burger Joint,American Restaurants,Breakfast,American Restaurant,Fast Food Restaurant,Traditional American,Fast Food Restaurants,Hamburgers,Restaurants",1560 Briargate Boulevard,Colorado Springs,80920,Colorado,US,38.94581,-104.79873,52,2,245,FALSE
10,QDOBA Mexican Eats,"Mexican Restaurants,Fast Food Restaurants,Take Out Restaurants,Restaurants",1916 Southgate Rd Space E8a,Colorado Springs,80906,Colorado,US,38.80491,-104.81956,36,3,30,FALSE
11,QDOBA Mexican Eats,"Grill Restaurants,Mexican,Mexican Restaurants,Brunch,Food Delivery,Fast Food,Fast Food Restaurants,Take Out Restaurants,Catering,Restaurants",7140 N Academy Blvd Space B4,Colorado Springs,80920,Colorado,US,38.93604,-104.79854,36,3.5,19,FALSE
12,Burger King,"Burger Joint,Restaurant,Fast Food Restaurant and Burger Joint Pleasant Valley,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food Restaurant and Burger Joint,Fast food restaurants,Restaurants",11410 N Rodney Parham Rd,Little Rock,72212,Arkansas,US,34.772621,-92.400605,453,2,3,FALSE
13,Carl's Jr.,"Hamburgers & Hot Dogs,Restaurant,Carry-out food,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast food restaurants,Restaurants",1111 Highway 62 65 N,Harrison,72601,Arkansas,US,36.2597,-93.1265,205,2,2,FALSE
14,Taco Time,"Carry-out food,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,American restaurants,Family style restaurants,Mexican restaurants,Fast Food Restaurants,Karaoke,Restaurants",2417 Tongass Ave Ste 120,Ketchikan,99901,Alaska,US,55.3484,-131.67413,39,1,2,FALSE
15,Taco Bell,"Carry-out food,Mexican Restaurants,Food and Beverage,Tex-mex restaurants,Southwestern restaurants,American restaurants,Mexican restaurants,Fast Food Restaurants,Restaurants",2695 Mill Bay Rd,Kodiak,99615,Alaska,US,57.80987,-152.36508,529,2.5,2,TRUE
16,Taco Bell,"Mexican Restaurant,Carry-out food,Restaurant,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,American restaurants,Mexican restaurants,Restaurants",209 N Santa Claus Ln,North Pole,99705,Alaska,US,64.756076,-147.35411,529,1.5,9,FALSE
17,Pizza Hut,"Pizza,Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Catering,Restaurants",10160 Kenai Spur Hwy,Kenai,99611,Alaska,US,60.561,-151.22925,474,3.5,4,FALSE
18,Pizza Hut,"Carry-out food,Pizza Restaurants,Caterers,Restaurant delivery service,Chicken Wings,Catering Companies,Food Delivery,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Pizza Place",1991 Airport Way,Fairbanks,99701,Alaska,US,64.8373,-147.7606,474,2,18,FALSE
19,Arby's,"Restaurant,Carry-out food,Tex-mex restaurants,Southwestern restaurants,American restaurants,Family style restaurants,Mexican restaurants,Fast Food Restaurants,Restaurants,Sandwich Shops",810 Row River Rd,Cottage Grove,97424,Oregon,US,43.800839,-123.039401,252,3.5,12,FALSE
