name,categories,address,city,postalCode,state,country,latitude,longitude,count
Subway,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Restaurants,Sandwich Shops",9433 Highway 431 S,Owens Cross Roads,35763,AL,US,34.570640000000004,-86.44759,1219
Burger King,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",505 E Cumming Avenue,Opp,36467,AL,US,31.280009999999997,-86.25010999999999,453
Kfc,"Carry-out food,Caterers,Barbecued poultry,American restaurants,Fast Food Restaurants,Take Out Restaurants,Barbecue,Chicken Restaurants,Spare rib restaurants,Catering,Restaurants",910 2nd Ave E,Oneonta,35121,AL,US,33.95433,-86.46733,69
Pizza Hut,"Pizza,Restaurant,Carry-out food,Caterers,Restaurant delivery service,American restaurants,Fast Food Restaurants,Take Out Restaurants,Home delivery beer and beverages,Family Style Restaurants,Catering,Restaurants",639 Northgate Dr NW,Arab,35016,AL,US,34.33266,-86.50455,474
Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,Chicken Wings,Food Delivery,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Restaurant,Pizza Place,Catering",1624 Temple Ave N,Fayette,35555,AL,US,33.70698,-87.82406,474
Subway,"Delis And Delicatessens,Carry-out food,Delicatessens,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Restaurants,Sandwich Shops",6707 Highway 431 S Ste 104,Owens Cross Roads,35763,AL,US,34.659009999999995,-86.48167,1219
Jack's,"Breakfast Brunch and Lunch Restaurants,Carry-out food,Hot dog restaurants,American restaurants,Hamburger restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Restaurants,Hamburgers & Hot Dogs,Burger Joint,Fast Food Restaurant,Family style restaurants,Hamburgers and Hot Dogs,Breakfast Brunch & Lunch Restaurants",7290 Us Highway 43,Guin,35563,AL,US,33.966409999999996,-87.91083,57
Carl's Jr.,"Restaurant,Carry-out food,Hot dog restaurants,Hamburger restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",9400 Grand Bay Wilmer Rd S,Grand Bay,36541,AL,US,30.49509,-88.33755,205
McDonald's,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",890 Odum Road,Gardendale,35071,AL,US,33.646770000000004,-86.8234,784
Sonic Drive-In,"Carry Out Food,American Restaurants,Hot Dog Stands and Restaurants,Take Out Restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",1020 Decatur HWay,Gardendale,35071,AL,US,33.65271,-86.8105,285
McDonald's,"Restaurant,Fast Food Restaurants,Take Out Restaurants,Hamburgers and Hot Dogs,Restaurants",704 Highway 28 W,Livingston,35470,AL,US,32.6243,-88.20631999999999,784
Pizza Hut,"Pizza,Restaurant,Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Catering,Restaurants",423 Highway 28 W,Livingston,35470,AL,US,32.621109999999994,-88.1965,474
Subway,"Delis And Delicatessens,Carry-out food,Delicatessens,wich Place,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",720 Main St NE,Hanceville,35077,AL,US,34.07124,-86.77643,1219
Jack's,"Breakfast Brunch and Lunch Restaurants,American Restaurants,Burgers,Hot Dogs,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Family Friendly Restaurants,Restaurants",1108 21st Street,Haleyville,35565,AL,US,34.2277,-87.62024,57
Kfc,"Fast Food,Fast Food Restaurants,Take Out Restaurants,Chicken,Chicken Restaurants,Restaurants",7909 Crestwood Boulevard,Birmingham,35210,AL,US,33.53055,-86.71381,69
Church's Chicken,"Take Out Restaurants,Fast Food Restaurants,Chicken Restaurants,Restaurants",325 S Eufaula Avenue,Eufaula,36027,AL,US,31.890559999999997,-85.14549,63
Arby's,"Fast Food Restaurants,Restaurants,Sandwich Shops",113 Will Garrett Road,Toomsuba,39364,MS,US,32.4116,-88.50533,252
Sonic Drive-In,"American Restaurants,Hot Dog Stands and Restaurants,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",930 N Washington Street,Livingston,35470,AL,US,32.60197,-88.18293,285
