,name,categories,address,city,postalCode,state,country,latitude,longitude,count,Rating,Review Count,Closed
0,Panera Bread,"Breakfast,Cafe,Bakery,Caf,Take Out Restaurants,Health Food Restaurants,Fast Food,Bagel Shops,Restaurants,American Restaurants,Coffee Shops,Restaurant,Traditional American,wich Place,Coffeehouses,Bakeries,Catering,Sandwich Place,Caf̩,Sandwich Shops",3942 Townsfair Way,Columbus,43219,Ohio,US,40.049258,-82.916792,140,2.5,42,False
1,Arby's,"Delis And Delicatessens,Restaurant,Fast Food Restaurant,American Restaurant,Traditional American,wich Place,Fast Food Restaurants,Fast Food,Sandwich Place,Restaurants,Sandwich Shops",603 S George Nigh Expy,McAlester,74501,Oklahoma,US,34.916276,-95.746002,252,3.5,7,False
2,Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Karaoke,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Restaurant,Pizza Place",1831 Beall Ave,Wooster,44691,Ohio,US,40.821870000000004,-81.933747,474,2.5,13,False
3,Pizza Hut,"Pizza,Carry-out food,Restaurant,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Pizza Place,Catering,Restaurants",14923 Pacific Ave S,Tacoma,98444,Washington,US,47.121221000000006,-122.43437,474,2.0,16,False
4,Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,Chicken Wings,Food Delivery,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Restaurant,Pizza Place,Catering",786 S Church St,Forest City,28043,North Carolina,US,35.319736999999996,-81.88098199999999,474,2.5,7,False
5,Subway,"Sandwich Place,Fast Food Restaurant",4 Mifflintown Commons,Mifflintown,17059,Pennsylvania,US,40.583393,-77.36972,1219,4.0,1,True
6,McDonalds,"Ice Cream Parlors,Breakfast,Fast Food Restaurants,Take Out Restaurants,Fast Food,Restaurants,Restaurant,Fast Food Restaurant,Coffeehouses,Salads,Hamburgers and Hot Dogs,Hamburgers,Sandwich Shops",501 Westbank Expy,Westwego,70094,Louisiana,US,29.899983000000002,-90.146592,151,1.0,8,False
7,Waffle House,"Breakfast Brunch and Lunch Restaurants,Restaurant,Breakfast Spot,Breakfast Spot and Diner,Fast Food Restaurant,Diner,Breakfast Brunch and Lunch Restaurants,,Diners,Restaurants",3651 Airport Blvd,Mobile,36608,Alabama,US,30.675194,-88.131162,103,3.5,16,False
8,Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,Steak and chop restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Restaurant,Barbecued poultry,Bar and grill restaurants,Pizza Place,Barbecue,Spare rib restaurants,Chicken restaurants,Catering",107 N Goose Creek Blvd,Goose Creek,29445,South Carolina,US,32.998514,-80.038907,474,2.0,24,False
9,Burger King,"Restaurant,Carry-out food,Hot dog restaurants,Fast Food Restaurant,American restaurants,Gourmet shop restaurants,Hamburger restaurants,Fast Food,Fast food restaurants,Restaurants",625 Peoria St,Aurora,80011,Colorado,US,39.726434000000005,-104.84772199999999,453,2.0,13,False
10,Panda Express,"Asian Restaurants,Chinese Restaurant,Restaurant,Chinese Restaurants,Asian Restaurant and Chinese Restaurant,Asian Restaurant,Fast Food Restaurants,Take Out Restaurants,Restaurants",85 Maxtown Rd,Westerville,43082,Ohio,US,40.146314000000004,-82.922169,108,3.0,21,False
11,Dairy Queen,"Ice Cream Parlors,Restaurant,Carry-out food,Candy Stores,Fast Food Restaurant,American restaurants,Restaurants,Ice Cream Shop,Candy and confectionery-retail",822 Winchester Ave,Martinsburg,25401,West Virginia,US,39.448833,-77.979218,329,3.0,8,False
12,Subway,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,Fast Food Restaurant,wich Place,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",3362 Warren Rd,Cleveland,44111,Ohio,US,41.462409,-81.802945,1219,4.5,2,False
13,Subway,"Restaurant,Food and Beverage,Fast Food Restaurant,wich Place,Sandwich Place",1483 Nashville Pike,Gallatin,37066,Tennessee,US,36.360887,-86.49620999999999,1219,2.5,4,False
14,McDonalds,"Carry-out food,Restaurant,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food Restaurants,Take Out Restaurants,Hamburgers and Hot Dogs,Restaurants",1200 League Line Rd,Conroe,77303,Texas,US,30.367240000000002,-95.483827,151,2.5,9,False
15,Waffle House,"Breakfast Spot,Fast Food Restaurant,Diner",936 Jake Alexander Blvd,Salisbury,28147,North Carolina,US,35.643307,-80.481876,103,2.5,11,False
16,Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,Chicken Wings,Food Delivery,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Restaurant,Pizza Place,Catering",3831 Grandview Dr,Simpsonville,29680,South Carolina,US,34.718068,-82.257356,474,2.5,15,False
17,Subway,"Restaurant,Carry-out food,Delicatessens,Fast Food Restaurant,Fast Food,Sandwiches,Sandwich Place,Restaurants",17211 Beach Blvd,Huntington Beach,92647,California,US,33.712447999999995,-117.98951000000001,1219,2.5,84,True
18,Pizza Hut,"Pizza,Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Pizza Place,Restaurants",4125 Old Tar Rd Ste K,Winterville,28590,North Carolina,US,35.549692,-77.383648,474,3.5,9,False
19,Domino's Pizza,"Pizza,Restaurant,Food Delivery,Take Out Restaurants,Fast Food Restaurants,Pizza Place,Restaurants",300 Railroad St,Danville,17821,Pennsylvania,US,40.95782,-76.6115,270,4.0,5,False
20,Penn Station East Coast Subs,"Restaurant,American Restaurant,Fast Food Restaurant,wich Place,Take Out Restaurants,Sandwich Place,Restaurants,Sandwich Shops",4820 W 57th St,Indianapolis,46254,Indiana,US,39.856322999999996,-86.241535,13,3.5,30,False
21,Carl's Jr.,"Hamburgers & Hot Dogs,Restaurant,Carry-out food,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food Restaurants,Restaurants",2525 Cobbs Ford Rd,Prattville,36066,Alabama,US,32.460653,-86.393919,205,3.5,11,False
22,Burger King,"Restaurant,Hot dog restaurants,American,Fast Food Restaurant,Hamburger restaurants,Fast Food,Fast food restaurants,Restaurants",23682 S Power Rd,Queen Creek,85142,Arizona,US,33.233705,-111.686524,453,1.5,26,False
23,Wendy's,"Burger Joint,Restaurant,Fast Food Restaurant,Fast Food Restaurant and Burger Joint",10220 Sunrise Blvd E,Puyallup,98374,Washington,US,47.098203000000005,-122.29285700000001,313,1.5,39,False
24,Firehouse Subs,"Carry-out food,Caterers,Delicatessens,American restaurants,Take Out Restaurants,Fast Food Restaurants,Karaoke,Restaurants,Delis And Delicatessens,Restaurant,wich Place,Sandwiches,Catering,Sandwich Place,Food,Sandwich Shops",621 Cortez Rd W,Bradenton,34207,Florida,US,27.461775,-82.5685,38,3.0,25,False
25,Pizza Hut,"Pizza,Restaurant,Chicken Wings,Food Delivery,Take Out Restaurants,Fast Food Restaurants,Pizza Place,Family Style Restaurants,Food service management,Catering,Restaurants",1031 Oak Harbor Rd,Fremont,43420,Ohio,US,41.357787,-83.136371,474,2.5,5,False
26,Waffle House,"Restaurant,Breakfast Spot,Diner, Breakfast Spot, and American Restaurant,Fast Food Restaurant,Diner",500 E Bowman Rd,Little Rock,72211,Arkansas,US,34.750103,-92.407465,103,3.5,16,False
27,Carl's Jr.,"Restaurant,Burger Joint,Carry-out food,Hot dog restaurants,Fast Food Restaurant,American restaurants,Hamburger restaurants,Restaurants",17029 SE 272nd St,Kent,98042,Washington,US,47.357805,-122.114682,205,2.5,56,True
28,McDonalds,"Carry-out food,Restaurant,Burger Joint,Hot dog restaurants,Fast Food Restaurant,American restaurants,Hamburger restaurants,Fast Food Restaurants,Take Out Restaurants,Fast Food Restaurant and Burger Joint,Hamburgers and Hot Dogs,Restaurants",3342 Point Mallard Pkwy SE,Decatur,35603,Alabama,US,34.536174,-86.908218,151,1.5,19,False
29,Bojangles' Famous Chicken 'n Biscuits,"Restaurant,Breakfast,Fried Chicken Joint,Fast Food Restaurant,Traditional American,Family Style Dining,Fast Food,Chicken,Restaurants,Sandwich Shops",5321 Old Dowd Road,Charlotte,28208,North Carolina,US,35.228982,-80.925877,44,2.5,42,False
30,Subway,"Fast Food Restaurant,wich Place,Sandwich Place",13174 Big Bend Rd.,Riverview,33579,Florida,US,27.792938,-82.333232,1219,3.5,4,False
31,Burger King,"Restaurant,Fast Food Restaurant,Restaurants",6003 19th St,Lubbock,79407,Texas,US,33.577306,-101.947757,453,1.0,6,False
32,Subway,"Fast Food Restaurant,wich Place,Sandwich Place",6629 Engle Rd,Cleveland,44130,Ohio,US,41.38823,-81.82332,1219,3.0,2,False
33,Subway,"Carry-out food,Delicatessens,American restaurants,Karaoke,Fast Food,Take Out Restaurants,Restaurants,Restaurant,Fast Food Restaurant,wich Place,Fast food restaurants,Sandwiches,Sandwich Place,Sandwich Shops",271 West Rd,Ocoee,34761,Florida,US,28.603815,-81.548891,1219,3.5,4,False
34,Domino's Pizza,"Pizza,Pizza Place and Sandwich Place Riverside,Restaurant,Food and Beverage,Food Delivery,wich Place,Take Out Restaurants,Fast Food Restaurants,Pizza Place,Sandwich Place,Restaurants,Restaurant Menus",726 W 3rd Ave,Spokane,99201,Washington,US,47.653693,-117.423229,270,2.0,24,False
35,Sonic Drive-In,"Burger Joint,American Restaurants,Hot Dog Stands and Restaurants,Fast Food Restaurant,American Restaurant,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",1307 S Gordon St,Alvin,77511,Texas,US,29.413399,-95.243273,285,2.5,14,False
36,Popeye's Louisiana Kitchen,"Restaurant,Fried Chicken Joint,Fast Food Restaurant",435 Winton Pkwy,Livingston,95334,California,US,37.387634999999996,-120.737963,91,2.0,24,False
37,Domino's Pizza,"Pizza,Restaurant,Food Delivery,Fast Food Restaurants,Take Out Restaurants,Pizza Place,Restaurants",306 Granville Cors,Oxford,27565,North Carolina,US,36.299202,-78.58525,270,3.5,4,False
38,Dairy Queen,"Ice Cream Parlors,Burger Joint,Restaurant,Carry-out food,Fast Food Restaurant,American restaurants,Ice Cream Store,Restaurants,Ice Cream Shop",24579 Lorain Rd,North Olmsted,44070,Ohio,US,41.426706,-81.893963,329,2.0,19,False
39,Popeye's Louisiana Kitchen,"Restaurant,Southern / Soul,Chain Restaurant,Fried Chicken Joint,Fast Food Restaurant",3362 W Lawrence Ave,Chicago,60625,Illinois,US,41.968459,-87.71315600000001,91,3.0,88,False
40,Burger King,"Hamburgers & Hot Dogs,Restaurant,Carry-out food,Hot dog restaurants,Fast Food Restaurant,American restaurants,Hamburger restaurants,Fast Food Restaurants,Fast Food,Hamburgers and Hot Dogs,Restaurants",528 Western Ave,Fergus Falls,56537,Minnesota,US,46.288917,-96.116248,453,2.0,3,True
41,Sonic Drive-In,"Carry-out food,Hot dog restaurants,American Restaurant,American restaurants,Hamburger restaurants,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Restaurants,Burger Joint,Hot Dog Stands and Restaurants,Fast Food Restaurant,Fast Food Restaurant and American Restaurant,Hamburgers and Hot Dogs",2008 S Pueblo Blvd,Pueblo,81005,Colorado,US,38.232103,-104.661764,285,1.5,8,False
42,McDonalds,"Restaurant,Carry-out food,Restaurant consultants,Hot dog restaurants,Fast Food Restaurant,American restaurants,Hamburger restaurants,Restaurant mgmt.,Fast food restaurants,Restaurants",9106 Belair Rd,Nottingham,21236,Maryland,US,39.400949,-76.47808,151,2.0,14,False
43,McDonalds,"Restaurant,Fast Food Restaurant,Restaurants",16908 Parthenia St,North Hills,91343,California,US,34.22824,-118.500662,151,2.0,91,False
