Zipcode,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Income Levels
78941,29.719856,-97.1249,2709.0,52.1,60625.0,28997.0,487.0,17.977113325950537,"Middle(<95,000)"
79233,34.545031,-100.43729,145.0,40.9,31146.0,17068.0,24.0,16.551724137931036,"Low(<35,000)"
98547,46.781978,-124.08111,1486.0,58.9,37784.0,28772.0,392.0,26.379542395693136,"Middle(<95,000)"
87752,36.02239,-104.65018,374.0,57.4,25938.0,22528.0,82.0,21.925133689839573,"Low(<35,000)"
93247,36.201983,-119.08589,18234.0,31.5,34329.0,14084.0,6175.0,33.86530657014369,"Low(<35,000)"
28460,34.52072,-77.42096,10845.0,31.5,63053.0,34750.0,1165.0,10.7422775472568,"Middle(<95,000)"
28705,36.033454,-82.16858,6870.0,48.4,44717.0,23422.0,829.0,12.066957787481805,"Middle(<95,000)"
30609,33.946364,-83.37743,2308.0,18.9,-666666666.0,2951.0,0.0,0.0,
34237,27.336973,-82.51506,18071.0,43.1,47756.0,26407.0,2149.0,11.8919816280228,"Middle(<95,000)"
35452,33.249332,-87.67217,3416.0,45.0,52762.0,30163.0,366.0,10.714285714285714,"Middle(<95,000)"
43947,39.964553,-80.76013,5310.0,45.3,56183.0,29348.0,215.0,4.048964218455744,"Middle(<95,000)"
04655,44.632707,-67.39416,956.0,35.4,51696.0,26070.0,97.0,10.146443514644352,"Middle(<95,000)"
05035,43.608849,-72.6799,708.0,49.3,51429.0,30617.0,38.0,5.367231638418079,"Middle(<95,000)"
01119,42.128442,-72.50932,13681.0,36.6,46985.0,24000.0,2366.0,17.29405745194065,"Middle(<95,000)"
01523,42.473131,-71.67946,7794.0,39.2,93385.0,33269.0,276.0,3.5411855273287145,"Middle(<95,000)"
01571,42.049864,-71.9173,11723.0,38.4,69071.0,31747.0,594.0,5.066962381642925,"Middle(<95,000)"
01835,42.757767,-71.08518,13958.0,36.5,76538.0,36057.0,1927.0,13.805702822753977,"Middle(<95,000)"
22003,38.830345,-77.21387,59375.0,38.3,110086.0,44191.0,4967.0,8.365473684210526,"High(<400,000)"
22645,39.023035,-78.2809,4279.0,45.4,78682.0,35400.0,229.0,5.351717691049311,"Middle(<95,000)"
22719,38.527816,-78.25117,255.0,21.8,55385.0,19642.0,24.0,9.411764705882353,"Middle(<95,000)"
23224,37.505147,-77.46101,40546.0,34.0,39485.0,20961.0,10417.0,25.691806836679326,"Middle(<95,000)"
