name,categories,address,city,postalCode,state,country,latitude,longitude,count
Panera Bread,"Breakfast,Cafe,Bakery,Caf,Take Out Restaurants,Health Food Restaurants,Fast Food,Bagel Shops,Restaurants,American Restaurants,Coffee Shops,Restaurant,Traditional American,wich Place,Coffeehouses,Bakeries,Catering,Sandwich Place,Caf̩,Sandwich Shops",3942 Townsfair Way,Columbus,43219,OH,US,40.049258,-82.916792,140
Arby's,"Delis And Delicatessens,Restaurant,Fast Food Restaurant,American Restaurant,Traditional American,wich Place,Fast Food Restaurants,Fast Food,Sandwich Place,Restaurants,Sandwich Shops",603 S George Nigh Expy,McAlester,74501,OK,US,34.916276,-95.746002,252
Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Karaoke,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Restaurant,Pizza Place",1831 Beall Ave,Wooster,44691,OH,US,40.82187,-81.933747,474
Pizza Hut,"Pizza,Carry-out food,Restaurant,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Pizza Place,Catering,Restaurants",14923 Pacific Ave S,Tacoma,98444,WA,US,47.121221,-122.43437,474
Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,Chicken Wings,Food Delivery,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Restaurant,Pizza Place,Catering",786 S Church St,Forest City,28043,NC,US,35.319737,-81.880982,474
Subway,"Sandwich Place,Fast Food Restaurant",4 Mifflintown Commons,Mifflintown,17059,PA,US,40.583393,-77.36972,1219
McDonalds,"Ice Cream Parlors,Breakfast,Fast Food Restaurants,Take Out Restaurants,Fast Food,Restaurants,Restaurant,Fast Food Restaurant,Coffeehouses,Salads,Hamburgers and Hot Dogs,Hamburgers,Sandwich Shops",501 Westbank Expy,Westwego,70094,LA,US,29.899983,-90.146592,151
Waffle House,"Breakfast Brunch and Lunch Restaurants,Restaurant,Breakfast Spot,Breakfast Spot and Diner,Fast Food Restaurant,Diner,Breakfast Brunch and Lunch Restaurants,,Diners,Restaurants",3651 Airport Blvd,Mobile,36608,AL,US,30.675194,-88.131162,103
Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,Steak and chop restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Restaurant,Barbecued poultry,Bar and grill restaurants,Pizza Place,Barbecue,Spare rib restaurants,Chicken restaurants,Catering",107 N Goose Creek Blvd,Goose Creek,29445,SC,US,32.998514,-80.038907,474
Burger King,"Restaurant,Carry-out food,Hot dog restaurants,Fast Food Restaurant,American restaurants,Gourmet shop restaurants,Hamburger restaurants,Fast Food,Fast food restaurants,Restaurants",625 Peoria St,Aurora,80011,CO,US,39.726434,-104.847722,453
Panda Express,"Asian Restaurants,Chinese Restaurant,Restaurant,Chinese Restaurants,Asian Restaurant and Chinese Restaurant,Asian Restaurant,Fast Food Restaurants,Take Out Restaurants,Restaurants",85 Maxtown Rd,Westerville,43082,OH,US,40.146314,-82.922169,108
Dairy Queen,"Ice Cream Parlors,Restaurant,Carry-out food,Candy Stores,Fast Food Restaurant,American restaurants,Restaurants,Ice Cream Shop,Candy and confectionery-retail",822 Winchester Ave,Martinsburg,25401,WV,US,39.448833,-77.979218,329
Subway,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,Fast Food Restaurant,wich Place,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",3362 Warren Rd,Cleveland,44111,OH,US,41.462409,-81.802945,1219
Subway,"Restaurant,Food and Beverage,Fast Food Restaurant,wich Place,Sandwich Place",1483 Nashville Pike,Gallatin,37066,TN,US,36.360887,-86.49621,1219
McDonalds,"Carry-out food,Restaurant,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food Restaurants,Take Out Restaurants,Hamburgers and Hot Dogs,Restaurants",1200 League Line Rd,Conroe,77303,TX,US,30.36724,-95.483827,151
Waffle House,"Breakfast Spot,Fast Food Restaurant,Diner",936 Jake Alexander Blvd,Salisbury,28147,NC,US,35.643307,-80.481876,103
Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,Chicken Wings,Food Delivery,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Restaurant,Pizza Place,Catering",3831 Grandview Dr,Simpsonville,29680,SC,US,34.718068,-82.257356,474
Subway,"Restaurant,Carry-out food,Delicatessens,Fast Food Restaurant,Fast Food,Sandwiches,Sandwich Place,Restaurants",17211 Beach Blvd,Huntington Beach,92647,CA,US,33.712448,-117.98951,1219
Pizza Hut,"Pizza,Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Pizza Place,Restaurants",4125 Old Tar Rd Ste K,Winterville,28590,NC,US,35.549692,-77.383648,474
Domino's Pizza,"Pizza,Restaurant,Food Delivery,Take Out Restaurants,Fast Food Restaurants,Pizza Place,Restaurants",300 Railroad St,Danville,17821,PA,US,40.95782,-76.6115,270
Penn Station East Coast Subs,"Restaurant,American Restaurant,Fast Food Restaurant,wich Place,Take Out Restaurants,Sandwich Place,Restaurants,Sandwich Shops",4820 W 57th St,Indianapolis,46254,IN,US,39.856323,-86.241535,13
